country,year,iso,total_papers,sum_male_first_authors,sum_female_first_authors,ratio
United States,1998,USA,1,0,0,0.0
United States,1999,USA,1,0,0,0.0
United States,2000,USA,2,0,0,0.0
United States,2001,USA,3,0,0,0.0
United States,2002,USA,10,5,1,0.2
United States,2003,USA,8,2,2,1.0
United States,2004,USA,40,18,11,0.6111111111111112
United States,2005,USA,202,108,60,0.5555555555555556
United States,2006,USA,188,80,70,0.875
United States,2007,USA,207,107,65,0.6074766355140186
United States,2008,USA,304,138,116,0.8405797101449275
United States,2009,USA,359,143,155,1.083916083916084
United States,2010,USA,415,175,169,0.9657142857142857
United States,2011,USA,461,186,196,1.053763440860215
United States,2012,USA,478,198,189,0.9545454545454546
United States,2013,USA,384,157,151,0.9617834394904459
United States,2014,USA,374,124,160,1.2903225806451613
United States,2015,USA,285,100,128,1.28
United States,2016,USA,226,74,98,1.3243243243243243
United States,2017,USA,150,58,61,1.0517241379310345
United Kingdom,1999,GBR,1,0,0,0.0
United Kingdom,2003,GBR,2,0,0,0.0
United Kingdom,2004,GBR,14,8,3,0.375
United Kingdom,2005,GBR,64,30,14,0.4666666666666667
United Kingdom,2006,GBR,71,38,16,0.42105263157894735
United Kingdom,2007,GBR,65,32,20,0.625
United Kingdom,2008,GBR,85,36,34,0.9444444444444444
United Kingdom,2009,GBR,97,37,48,1.2972972972972974
United Kingdom,2010,GBR,89,42,33,0.7857142857142857
United Kingdom,2011,GBR,130,44,61,1.3863636363636365
United Kingdom,2012,GBR,109,44,50,1.1363636363636365
United Kingdom,2013,GBR,120,57,42,0.7368421052631579
United Kingdom,2014,GBR,104,48,38,0.7916666666666666
United Kingdom,2015,GBR,110,40,56,1.4
United Kingdom,2016,GBR,82,31,33,1.064516129032258
United Kingdom,2018,GBR,1,1,0,0.0
United Kingdom,2017,GBR,44,14,21,1.5
Lebanon,1999,LBN,2,0,0,0.0
Lebanon,2007,LBN,1,1,0,0.0
Lebanon,2011,LBN,1,1,0,0.0
Lebanon,2015,LBN,1,0,1,inf
Japan,2000,JPN,1,0,0,0.0
Japan,2004,JPN,9,9,0,0.0
Japan,2005,JPN,36,23,7,0.30434782608695654
Japan,2006,JPN,27,19,5,0.2631578947368421
Japan,2007,JPN,29,17,8,0.47058823529411764
Japan,2008,JPN,42,29,10,0.3448275862068966
Japan,2009,JPN,40,20,11,0.55
Japan,2010,JPN,41,24,10,0.4166666666666667
Japan,2011,JPN,37,21,11,0.5238095238095238
Japan,2012,JPN,48,24,13,0.5416666666666666
Japan,2013,JPN,56,27,19,0.7037037037037037
Japan,2014,JPN,65,35,15,0.42857142857142855
Japan,2015,JPN,69,41,16,0.3902439024390244
Japan,2016,JPN,35,17,13,0.7647058823529411
Japan,2017,JPN,22,12,5,0.4166666666666667
Germany,2000,DEU,1,0,0,0.0
Germany,2003,DEU,1,0,0,0.0
Germany,2004,DEU,15,10,2,0.2
Germany,2005,DEU,84,47,23,0.48936170212765956
Germany,2006,DEU,69,35,18,0.5142857142857142
Germany,2007,DEU,100,47,34,0.723404255319149
Germany,2008,DEU,107,52,34,0.6538461538461539
Germany,2009,DEU,125,66,42,0.6363636363636364
Germany,2010,DEU,131,55,55,1.0
Germany,2011,DEU,126,59,51,0.864406779661017
Germany,2012,DEU,180,72,85,1.1805555555555556
Germany,2013,DEU,199,75,92,1.2266666666666666
Germany,2014,DEU,172,74,82,1.1081081081081081
Germany,2015,DEU,167,66,70,1.0606060606060606
Germany,2016,DEU,114,39,52,1.3333333333333333
Germany,2017,DEU,63,22,32,1.4545454545454546
Australia,2001,AUS,1,0,0,0.0
Australia,2004,AUS,2,1,1,1.0
Australia,2005,AUS,5,2,1,0.5
Australia,2006,AUS,12,7,1,0.14285714285714285
Australia,2007,AUS,7,1,4,4.0
Australia,2008,AUS,10,4,3,0.75
Australia,2009,AUS,12,5,3,0.6
Australia,2010,AUS,10,4,3,0.75
Australia,2011,AUS,12,7,4,0.5714285714285714
Australia,2012,AUS,28,11,7,0.6363636363636364
Australia,2013,AUS,28,11,7,0.6363636363636364
Australia,2014,AUS,29,12,12,1.0
Australia,2015,AUS,33,7,17,2.4285714285714284
Australia,2016,AUS,18,5,9,1.8
Australia,2017,AUS,8,3,4,1.3333333333333333
Singapore,2004,SGP,1,1,0,0.0
Singapore,2005,SGP,3,1,1,1.0
Singapore,2006,SGP,3,1,0,0.0
Singapore,2007,SGP,2,1,1,1.0
Singapore,2008,SGP,1,0,1,inf
Singapore,2009,SGP,5,4,1,0.25
Singapore,2010,SGP,2,2,0,0.0
Singapore,2011,SGP,3,2,1,0.5
Singapore,2012,SGP,4,1,1,1.0
Singapore,2013,SGP,2,2,0,0.0
Singapore,2014,SGP,4,0,1,inf
Singapore,2015,SGP,4,1,2,2.0
Singapore,2016,SGP,9,2,0,0.0
Singapore,2017,SGP,3,2,1,0.5
Hong Kong,2004,HKG,2,2,0,0.0
Hong Kong,2005,HKG,1,0,0,0.0
Hong Kong,2006,HKG,2,0,0,0.0
Hong Kong,2007,HKG,1,0,0,0.0
Hong Kong,2008,HKG,7,0,0,0.0
Hong Kong,2009,HKG,9,0,5,inf
Hong Kong,2010,HKG,1,0,0,0.0
Hong Kong,2011,HKG,3,0,0,0.0
Hong Kong,2012,HKG,3,0,0,0.0
Hong Kong,2013,HKG,4,1,0,0.0
Hong Kong,2014,HKG,7,1,1,1.0
Hong Kong,2015,HKG,8,1,1,1.0
Hong Kong,2016,HKG,6,1,0,0.0
Hong Kong,2017,HKG,4,1,2,2.0
France,2004,FRA,5,3,2,0.6666666666666666
France,2005,FRA,22,5,7,1.4
France,2006,FRA,20,3,8,2.6666666666666665
France,2007,FRA,20,7,8,1.1428571428571428
France,2008,FRA,31,9,12,1.3333333333333333
France,2009,FRA,27,13,6,0.46153846153846156
France,2010,FRA,22,6,9,1.5
France,2011,FRA,26,11,9,0.8181818181818182
France,2012,FRA,41,16,18,1.125
France,2013,FRA,36,14,15,1.0714285714285714
France,2014,FRA,29,15,10,0.6666666666666666
France,2015,FRA,31,6,19,3.1666666666666665
France,2016,FRA,29,9,18,2.0
France,2017,FRA,14,4,8,2.0
Taiwan,2004,TWN,2,0,0,0.0
Taiwan,2005,TWN,2,1,1,1.0
Taiwan,2006,TWN,2,0,0,0.0
Taiwan,2007,TWN,2,1,0,0.0
Taiwan,2008,TWN,6,0,0,0.0
Taiwan,2009,TWN,10,0,1,inf
Taiwan,2010,TWN,11,0,0,0.0
Taiwan,2011,TWN,4,0,0,0.0
Taiwan,2012,TWN,15,0,0,0.0
Taiwan,2013,TWN,16,0,0,0.0
Taiwan,2014,TWN,14,0,0,0.0
Taiwan,2015,TWN,22,0,2,inf
Taiwan,2016,TWN,15,1,1,1.0
Taiwan,2017,TWN,12,0,0,0.0
Canada,2004,CAN,7,0,5,inf
Canada,2005,CAN,31,12,14,1.1666666666666667
Canada,2006,CAN,22,10,9,0.9
Canada,2007,CAN,28,11,11,1.0
Canada,2008,CAN,26,14,6,0.42857142857142855
Canada,2009,CAN,42,20,15,0.75
Canada,2010,CAN,52,21,19,0.9047619047619048
Canada,2011,CAN,46,18,18,1.0
Canada,2012,CAN,69,27,30,1.1111111111111112
Canada,2013,CAN,74,29,32,1.103448275862069
Canada,2014,CAN,75,25,37,1.48
Canada,2015,CAN,76,24,35,1.4583333333333333
Canada,2016,CAN,56,21,22,1.0476190476190477
Canada,2017,CAN,33,7,14,2.0
Spain,2004,ESP,1,0,1,inf
Spain,2005,ESP,4,1,1,1.0
Spain,2006,ESP,8,3,4,1.3333333333333333
Spain,2007,ESP,5,2,3,1.5
Spain,2008,ESP,9,3,3,1.0
Spain,2009,ESP,19,8,9,1.125
Spain,2010,ESP,16,7,4,0.5714285714285714
Spain,2011,ESP,18,8,7,0.875
Spain,2012,ESP,19,2,13,6.5
Spain,2013,ESP,26,11,13,1.1818181818181819
Spain,2014,ESP,23,8,8,1.0
Spain,2015,ESP,21,7,7,1.0
Spain,2016,ESP,16,8,8,1.0
Spain,2017,ESP,10,4,6,1.5
Italy,2004,ITA,1,1,0,0.0
Italy,2005,ITA,14,8,3,0.375
Italy,2006,ITA,7,1,1,1.0
Italy,2007,ITA,19,7,9,1.2857142857142858
Italy,2008,ITA,23,10,12,1.2
Italy,2009,ITA,33,13,13,1.0
Italy,2010,ITA,19,6,10,1.6666666666666667
Italy,2011,ITA,25,10,14,1.4
Italy,2012,ITA,39,17,19,1.1176470588235294
Italy,2013,ITA,41,18,20,1.1111111111111112
Italy,2014,ITA,54,22,26,1.1818181818181819
Italy,2015,ITA,49,18,29,1.6111111111111112
Italy,2016,ITA,36,7,25,3.5714285714285716
Italy,2017,ITA,19,7,8,1.1428571428571428
Switzerland,2004,CHE,1,0,0,0.0
Switzerland,2005,CHE,9,4,3,0.75
Switzerland,2006,CHE,15,9,3,0.3333333333333333
Switzerland,2007,CHE,14,10,2,0.2
Switzerland,2008,CHE,15,8,6,0.75
Switzerland,2009,CHE,18,11,3,0.2727272727272727
Switzerland,2010,CHE,20,13,4,0.3076923076923077
Switzerland,2011,CHE,21,11,6,0.5454545454545454
Switzerland,2012,CHE,16,9,6,0.6666666666666666
Switzerland,2013,CHE,42,23,19,0.8260869565217391
Switzerland,2014,CHE,52,28,14,0.5
Switzerland,2015,CHE,37,17,17,1.0
Switzerland,2016,CHE,24,11,9,0.8181818181818182
Switzerland,2017,CHE,12,7,4,0.5714285714285714
Switzerland,2018,CHE,1,1,0,0.0
Belgium,2004,BEL,1,0,0,0.0
Belgium,2005,BEL,13,6,4,0.6666666666666666
Belgium,2006,BEL,7,1,2,2.0
Belgium,2007,BEL,8,3,2,0.6666666666666666
Belgium,2008,BEL,13,3,7,2.3333333333333335
Belgium,2009,BEL,9,4,1,0.25
Belgium,2010,BEL,15,7,6,0.8571428571428571
Belgium,2011,BEL,8,2,2,1.0
Belgium,2012,BEL,35,12,17,1.4166666666666667
Belgium,2013,BEL,38,21,10,0.47619047619047616
Belgium,2014,BEL,21,7,12,1.7142857142857142
Belgium,2015,BEL,16,5,10,2.0
Belgium,2016,BEL,13,2,11,5.5
Belgium,2017,BEL,10,5,3,0.6
Netherlands,2004,NLD,1,1,0,0.0
Netherlands,2005,NLD,7,5,1,0.2
Netherlands,2006,NLD,24,8,7,0.875
Netherlands,2007,NLD,19,6,7,1.1666666666666667
Netherlands,2008,NLD,21,9,8,0.8888888888888888
Netherlands,2009,NLD,35,12,15,1.25
Netherlands,2010,NLD,50,18,22,1.2222222222222223
Netherlands,2011,NLD,47,11,25,2.272727272727273
Netherlands,2012,NLD,45,14,26,1.8571428571428572
Netherlands,2013,NLD,55,15,29,1.9333333333333333
Netherlands,2014,NLD,48,10,29,2.9
Netherlands,2015,NLD,49,12,27,2.25
Netherlands,2016,NLD,51,10,28,2.8
Netherlands,2017,NLD,23,6,14,2.3333333333333335
"Korea, South",2004,KOR,1,0,0,0.0
"Korea, South",2005,KOR,5,1,0,0.0
"Korea, South",2006,KOR,2,1,0,0.0
"Korea, South",2007,KOR,4,1,1,1.0
"Korea, South",2008,KOR,4,2,0,0.0
"Korea, South",2009,KOR,2,2,0,0.0
"Korea, South",2010,KOR,5,3,1,0.3333333333333333
"Korea, South",2011,KOR,3,0,1,inf
"Korea, South",2012,KOR,8,2,1,0.5
"Korea, South",2013,KOR,12,7,0,0.0
"Korea, South",2014,KOR,4,2,0,0.0
"Korea, South",2015,KOR,9,1,1,1.0
"Korea, South",2016,KOR,5,1,0,0.0
"Korea, South",2017,KOR,4,0,1,inf
Austria,2005,AUT,6,4,1,0.25
Austria,2006,AUT,9,4,5,1.25
Austria,2007,AUT,8,5,2,0.4
Austria,2008,AUT,6,1,4,4.0
Austria,2009,AUT,7,3,4,1.3333333333333333
Austria,2010,AUT,8,3,3,1.0
Austria,2011,AUT,7,4,2,0.5
Austria,2012,AUT,14,6,8,1.3333333333333333
Austria,2013,AUT,27,9,15,1.6666666666666667
Austria,2014,AUT,16,8,7,0.875
Austria,2015,AUT,24,10,13,1.3
Austria,2016,AUT,11,4,4,1.0
Austria,2018,AUT,2,0,2,inf
Austria,2017,AUT,6,1,3,3.0
Finland,2005,FIN,5,2,1,0.5
Finland,2006,FIN,7,4,3,0.75
Finland,2007,FIN,6,1,4,4.0
Finland,2008,FIN,6,2,3,1.5
Finland,2009,FIN,2,1,0,0.0
Finland,2010,FIN,5,1,3,3.0
Finland,2011,FIN,5,3,1,0.3333333333333333
Finland,2012,FIN,8,5,3,0.6
Finland,2013,FIN,9,3,3,1.0
Finland,2014,FIN,10,7,1,0.14285714285714285
Finland,2015,FIN,8,5,2,0.4
Finland,2016,FIN,8,4,2,0.5
Finland,2017,FIN,6,4,1,0.25
China,2005,CHN,8,0,0,0.0
China,2006,CHN,8,1,0,0.0
China,2007,CHN,14,1,0,0.0
China,2008,CHN,22,0,0,0.0
China,2009,CHN,50,3,0,0.0
China,2010,CHN,51,2,0,0.0
China,2011,CHN,84,4,3,0.75
China,2012,CHN,115,4,2,0.5
China,2013,CHN,156,5,2,0.4
China,2014,CHN,182,6,4,0.6666666666666666
China,2015,CHN,222,12,1,0.08333333333333333
China,2016,CHN,210,10,3,0.3
China,2017,CHN,156,5,0,0.0
Norway,2005,NOR,4,4,0,0.0
Norway,2006,NOR,2,1,0,0.0
Norway,2007,NOR,1,1,0,0.0
Norway,2008,NOR,4,1,1,1.0
Norway,2009,NOR,3,2,1,0.5
Norway,2010,NOR,7,3,0,0.0
Norway,2011,NOR,3,1,2,2.0
Norway,2012,NOR,8,3,3,1.0
Norway,2013,NOR,5,3,0,0.0
Norway,2014,NOR,8,4,3,0.75
Norway,2015,NOR,12,7,4,0.5714285714285714
Norway,2016,NOR,7,4,3,0.75
Norway,2017,NOR,1,0,1,inf
Denmark,2005,DNK,2,1,1,1.0
Denmark,2006,DNK,6,3,2,0.6666666666666666
Denmark,2007,DNK,1,1,0,0.0
Denmark,2008,DNK,5,3,2,0.6666666666666666
Denmark,2009,DNK,1,1,0,0.0
Denmark,2010,DNK,2,1,1,1.0
Denmark,2011,DNK,6,2,2,1.0
Denmark,2012,DNK,4,3,1,0.3333333333333333
Denmark,2013,DNK,7,4,2,0.5
Denmark,2014,DNK,9,5,4,0.8
Denmark,2015,DNK,11,4,3,0.75
Denmark,2016,DNK,8,7,1,0.14285714285714285
Denmark,2017,DNK,3,0,2,inf
Mexico,2005,MEX,1,0,0,0.0
Mexico,2007,MEX,2,1,1,1.0
Mexico,2010,MEX,1,1,0,0.0
Mexico,2011,MEX,3,2,0,0.0
Mexico,2012,MEX,1,1,0,0.0
Mexico,2013,MEX,2,0,2,inf
Mexico,2014,MEX,3,2,1,0.5
Mexico,2015,MEX,3,1,1,1.0
Mexico,2016,MEX,2,1,1,1.0
Mexico,2017,MEX,3,2,1,0.5
Israel,2005,ISR,2,1,0,0.0
Israel,2006,ISR,1,0,1,inf
Israel,2007,ISR,4,2,2,1.0
Israel,2008,ISR,2,1,0,0.0
Israel,2009,ISR,5,0,4,inf
Israel,2010,ISR,9,2,5,2.5
Israel,2011,ISR,6,1,4,4.0
Israel,2012,ISR,6,3,3,1.0
Israel,2013,ISR,8,3,2,0.6666666666666666
Israel,2014,ISR,9,5,3,0.6
Israel,2015,ISR,19,7,10,1.4285714285714286
Israel,2016,ISR,7,3,3,1.0
Israel,2017,ISR,5,1,3,3.0
Sweden,2005,SWE,3,2,1,0.5
Sweden,2006,SWE,2,1,1,1.0
Sweden,2007,SWE,5,0,5,inf
Sweden,2008,SWE,7,2,3,1.5
Sweden,2009,SWE,4,2,2,1.0
Sweden,2010,SWE,7,3,4,1.3333333333333333
Sweden,2011,SWE,11,2,6,3.0
Sweden,2012,SWE,14,3,7,2.3333333333333335
Sweden,2013,SWE,18,6,9,1.5
Sweden,2014,SWE,23,12,9,0.75
Sweden,2015,SWE,16,7,7,1.0
Sweden,2016,SWE,15,2,8,4.0
Sweden,2017,SWE,6,2,3,1.5
Brazil,2005,BRA,1,1,0,0.0
Brazil,2006,BRA,1,0,1,inf
Brazil,2008,BRA,4,4,0,0.0
Brazil,2009,BRA,6,4,1,0.25
Brazil,2010,BRA,4,2,2,1.0
Brazil,2011,BRA,2,1,1,1.0
Brazil,2012,BRA,1,0,1,inf
Brazil,2013,BRA,7,3,2,0.6666666666666666
Brazil,2014,BRA,7,4,1,0.25
Brazil,2015,BRA,5,2,2,1.0
Brazil,2016,BRA,7,3,2,0.6666666666666666
Brazil,2017,BRA,4,1,3,3.0
Ireland,2005,IRL,1,1,0,0.0
Ireland,2006,IRL,2,1,0,0.0
Ireland,2008,IRL,2,1,1,1.0
Ireland,2009,IRL,6,4,2,0.5
Ireland,2010,IRL,2,0,2,inf
Ireland,2011,IRL,7,3,4,1.3333333333333333
Ireland,2012,IRL,7,3,4,1.3333333333333333
Ireland,2013,IRL,7,2,4,2.0
Ireland,2014,IRL,4,1,3,3.0
Ireland,2015,IRL,2,1,1,1.0
Ireland,2016,IRL,1,1,0,0.0
Ireland,2017,IRL,2,2,0,0.0
Russia,2005,RUS,1,0,0,0.0
Russia,2012,RUS,1,1,0,0.0
Russia,2013,RUS,1,1,0,0.0
Russia,2014,RUS,2,0,2,inf
Russia,2015,RUS,1,1,0,0.0
Russia,2016,RUS,2,1,1,1.0
Russia,2017,RUS,4,2,2,1.0
Georgia,2006,GEO,1,0,1,inf
Georgia,2008,GEO,3,3,0,0.0
Georgia,2010,GEO,2,2,0,0.0
Georgia,2011,GEO,2,2,0,0.0
Georgia,2012,GEO,1,1,0,0.0
Georgia,2013,GEO,4,1,1,1.0
Georgia,2014,GEO,1,0,0,0.0
Georgia,2016,GEO,1,0,1,inf
Hungary,2006,HUN,1,1,0,0.0
Hungary,2008,HUN,1,1,0,0.0
Hungary,2012,HUN,3,3,0,0.0
Hungary,2013,HUN,6,3,1,0.3333333333333333
Hungary,2015,HUN,2,1,0,0.0
Hungary,2017,HUN,3,1,2,2.0
India,2006,IND,1,1,0,0.0
India,2008,IND,3,0,0,0.0
India,2010,IND,2,0,0,0.0
India,2011,IND,6,0,0,0.0
India,2012,IND,4,1,0,0.0
India,2013,IND,3,2,0,0.0
India,2014,IND,4,1,1,1.0
India,2015,IND,8,1,5,5.0
India,2016,IND,2,0,0,0.0
India,2017,IND,6,2,2,1.0
Greece,2006,GRC,1,0,0,0.0
Greece,2014,GRC,1,0,1,inf
Greece,2015,GRC,1,1,0,0.0
Greece,2016,GRC,2,1,0,0.0
Greece,2017,GRC,2,2,0,0.0
Iceland,2006,ISL,1,0,0,0.0
Iceland,2011,ISL,1,0,1,inf
Iceland,2017,ISL,1,0,0,0.0
Argentina,2007,ARG,1,0,0,0.0
Argentina,2008,ARG,1,0,1,inf
Argentina,2011,ARG,1,0,1,inf
Argentina,2012,ARG,1,0,1,inf
Argentina,2013,ARG,2,1,1,1.0
Argentina,2014,ARG,2,0,2,inf
Argentina,2016,ARG,3,0,2,inf
Argentina,2015,ARG,1,0,0,0.0
Argentina,2017,ARG,1,1,0,0.0
Luxembourg,2007,LUX,1,1,0,0.0
Luxembourg,2012,LUX,1,0,1,inf
Luxembourg,2014,LUX,1,0,1,inf
Luxembourg,2017,LUX,2,1,1,1.0
Poland,2008,POL,1,0,0,0.0
Poland,2010,POL,1,0,0,0.0
Poland,2011,POL,1,0,0,0.0
Poland,2012,POL,4,2,2,1.0
Poland,2013,POL,4,1,3,3.0
Poland,2014,POL,5,1,2,2.0
Poland,2015,POL,3,0,2,inf
Poland,2016,POL,7,2,3,1.5
Poland,2017,POL,4,2,1,0.5
South Africa,2008,ZAF,1,0,0,0.0
South Africa,2010,ZAF,1,0,1,inf
South Africa,2012,ZAF,1,1,0,0.0
South Africa,2013,ZAF,3,2,1,0.5
South Africa,2014,ZAF,2,0,0,0.0
South Africa,2015,ZAF,3,1,0,0.0
South Africa,2016,ZAF,3,1,0,0.0
Slovenia,2008,SVN,1,0,0,0.0
New Zealand,2008,NZL,1,0,1,inf
New Zealand,2009,NZL,2,0,2,inf
New Zealand,2010,NZL,5,1,4,4.0
New Zealand,2011,NZL,4,0,4,inf
New Zealand,2012,NZL,3,0,1,inf
New Zealand,2013,NZL,5,1,3,3.0
New Zealand,2014,NZL,4,2,2,1.0
New Zealand,2015,NZL,3,0,2,inf
New Zealand,2016,NZL,3,1,1,1.0
New Zealand,2017,NZL,2,0,2,inf
Portugal,2008,PRT,1,1,0,0.0
Portugal,2010,PRT,3,0,3,inf
Portugal,2011,PRT,2,1,1,1.0
Portugal,2012,PRT,2,1,1,1.0
Portugal,2013,PRT,5,2,3,1.5
Portugal,2014,PRT,2,2,0,0.0
Portugal,2015,PRT,4,1,3,3.0
Portugal,2016,PRT,6,1,4,4.0
Portugal,2017,PRT,1,0,1,inf
Iran,2010,IRN,1,1,0,0.0
Iran,2011,IRN,1,1,0,0.0
Iran,2013,IRN,1,1,0,0.0
Iran,2014,IRN,1,1,0,0.0
Iran,2015,IRN,1,1,0,0.0
Serbia,2010,SRB,1,0,1,inf
Turkey,2011,TUR,1,1,0,0.0
Turkey,2013,TUR,1,0,0,0.0
Turkey,2014,TUR,1,0,1,inf
Turkey,2015,TUR,2,1,0,0.0
Turkey,2016,TUR,1,1,0,0.0
Turkey,2017,TUR,2,1,0,0.0
Macau,2012,MAC,1,0,1,inf
Saudi Arabia,2012,SAU,1,0,1,inf
Saudi Arabia,2017,SAU,2,1,0,0.0
Cuba,2012,CUB,1,0,1,inf
Cuba,2013,CUB,1,0,1,inf
Malaysia,2012,MYS,1,0,0,0.0
Malaysia,2013,MYS,1,0,0,0.0
Malaysia,2016,MYS,1,0,1,inf
Jersey,2013,JEY,4,1,2,2.0
Jersey,2014,JEY,3,0,2,inf
Jersey,2015,JEY,2,0,1,inf
Chile,2013,CHL,1,1,0,0.0
Chile,2015,CHL,3,2,1,0.5
Chile,2017,CHL,1,0,1,inf
Slovakia,2015,SVK,1,0,1,inf
United Arab Emirates,2015,ARE,1,1,0,0.0
Romania,2015,ROU,1,0,1,inf
Lithuania,2015,LTU,1,1,0,0.0
Colombia,2016,COL,1,1,0,0.0
Pakistan,2016,PAK,1,0,0,0.0
